lemma	top	first_tag
arrup	Z	Z3c
arrups	Z	Z3c
arry	Z	Z1m
arsonium	O	O1.1
artemide	Z	Z1m
arthur	Z	Z1m
artillery	Z	Z2
artois	Z	Z1mf
arundel	Z	Z2
arvon	Z	Z2
asante	Z	Z2/S2mf
ascots	Z	Z3c
asda	Z	Z3c
ashby-de-la-zouche	Z	Z2
ashdon	Z	Z2
ashdown	Z	Z1mf
ashfeld	Z	Z2
ashfield	Z	Z2
ashford	Z	Z2
ashgate	Z	Z2
ashington	Z	Z2
ashley	Z	Z1mf
ashlington	Z	Z2
ashridge	Z	Z2
ashtod	Z	Z2
ashton	Z	Z2
ashwood	Z	Z2
asia	Z	Z2
asia-pacific	Z	Z2
asiamoney	Z	Z3c
asian	Z	Z2/S2mf
asian-fusion	Z	Z2/A1.8
asians	Z	Z2/S2mf
asiatic	Z	Z2
aspasia	Z	Z1f
aspatria	Z	Z2
aspel	Z	Z1mf
assam	Z	Z3/F2
assisi	Z	Z2
assizes	G	G2.1
assn	S	S5+c
assn.	S	S5+c
assoc.	S	S5+c
assumptionist	S	S9/S2mf
assyrian	Z	Z2/S2mf
assyrians	Z	Z2/S2mf
astaire	Z	Z1mf
astati	Z	Z2
asterdome	Z	Z3
asteria	Z	Z3c
asti	Z	Z2
aston	Z	Z2
astra	Z	Z3
astrazeneca	Z	Z3c
astrakhan	B	B5
astrid	Z	Z1f
astrio	Z	Z3c
astro	Z	Z3
astrology	S	S9
aswan	Z	Z2
atanas	Z	Z1m
athenian	Z	Z2
athens	Z	Z2
atkins	Z	Z1mf
atkinson	Z	Z1mf
atlanta	Z	Z2
atlantic	Z	Z2
attacliffe	Z	Z2
attenborough	Z	Z1mf
attila	Z	Z1
attlee	Z	Z1
aubyn	Z	Z2
auchtermuchty	Z	Z2
auckland	Z	Z2
audi	Z	Z3c
audrey	Z	Z1f
aug	T	T1.3
aug.	T	T1.3
augsburg	Z	Z2
august	T	T1.3
august/september/october	T	T1.3
augustine	Z	Z1m
augustines	Z	Z1m
augustinian	S	S9
augusto	Z	Z1m
augustus	Z	Z1m
auriol	Z	Z1mf
aus	Z	Z2
auschwitz	Z	Z2
aussie	Z	Z2/S2mf
aussies	Z	Z2/S2mf
austell	Z	Z2
austen	Z	Z1mf
austin	Z	Z1mf
australasia	Z	Z2
australasian	Z	Z2
australia	Z	Z2
australian	Z	Z2/S2mf
australian-educated	P	P1/Z2
australianism	Z	Z2
australians	Z	Z2/S2mf
austria	Z	Z2
austria-hungarian	Z	Z2
austria-hungary	Z	Z2
austrian	Z	Z2
austrians	Z	Z2/S2mf
austro-hungarian	Z	Z2
auto-by-tel	Z	Z3c/Y2
autobahn	M	M3
autoform	Z	Z3c
autrey	Z	Z1mf
auvergne	Z	Z2
auxiliaries	B	B3/S2mf
auxiliary	S	S7.1
avans	P	P1/S2mf
avars	Z	Z2/S2mf
aviemore	Z	Z2
avimore	Z	Z2
avory	Z	Z3
avril	Z	Z1f
axel	Z	Z3c
axioms	X	X4.1
axminster	Z	Z2
aya	Z	Z2
ayac	Z	Z2
ayatollah	S	S9/S2.2m
ayckbourne	Z	Z1mf
aylesbury	Z	Z2
ayling	Z	Z1m
ayr	Z	Z2
ayre	Z	Z2
ayretree	Z	Z2
ayrshire	Z	Z2
ayrton	Z	Z1m
ayrtree	Z	Z2
azande	Z	Z2/S2mf
azerbaijan	Z	Z2
azerbaijani	Z	Z2/S2mf
azerbaijanis	Z	Z2/S2mf
azman	Z	Z1m
azmi	Z	Z1m
azoreans	Z	Z2/S2mf
azores	Z	Z2
aztec	T	T1.1.1/S2mf
aztecs	T	T1.1.1/S2mf
b	Z	Z5
b&q	Z	Z3c
b&amp;q	Z	Z3
b-tec	P	P1
b-tech	P	P1
b-toto	Z	Z3c
b-film	Q	Q4.3
b-movie	Q	Q4.3
b-road	M	M3
b-side	K	K3
b.a.	P	P1
b.c.	T	T1.1.1
b.ed	P	P1
b.tech	P	P1
b.tech.	P	P1
b17	Z	Z3
b2b	I	I2.1
b2c	Z	Z3c
b6	Z	Z2
ba	P	P1
bac	I	I1
bacc	Z	Z3c
bacs	I	I1
bae	Z	Z3c
basf-petronas	Z	Z3c
basic	Y	Y2
bb	Z	Z3c
bba	P	P1/I2.1
bbc	Z	Z3c
bbc1	Z	Z3c
bbc2	Z	Z3c
bbh	Z	Z3
bbn	Z	Z3c
bbq	F	F1
bbsrc	Z	Z3/G1.1c/Y1/B1
bc	T	T1.1.1
bcg	B	B3
bcp	S	S9/Q4.1
bcu	Q	Q4.3
bd	Z	Z3
bde	Z	Z5
bea	Z	Z3c
bec	Z	Z3c
bgce	P	P1
bgces	P	P1
bgt	Z	Z3
bgt3	Z	Z3
bhs	Z	Z3c
bhta	Z	Z3c
bi	Z	Z3c
bicc	Z	Z3c
bids	Z	Z3c
biol	P	P1
bl	S	S9
bla	Z	Z3c
bmc	Z	Z3
bme	Z	Z3c
bmrb	Z	Z3c
bmw	Z	Z3/M3
bmw-rover	Z	Z3c/M3
bmws	Z	Z3/M3
bmx	M	M3
bnfl	Z	Z3c
bnm	Z	Z3c
bnp	Z	Z3c
boac	Z	Z3c/M5
boas	Z	Z3c
bol.com	Z	Z3c/Y2
bp	Z	Z3c
bp/shell	Z	Z3c
bps	B	B1
br	Z	Z3
br&amp;b	Z	Z3c
brave	Z	Z3c
bs	Z	Z3
bs5750	Z	Z3
bs750	Z	Z3
bsa	Z	Z3
bse	B	B2
bsi	Z	Z3c
bsm	Z	Z3c
bsn	Z	Z3c
bsr	Z	Z3c
bst	B	B1
bsc	P	P1
bskyb	Z	Z3c
bt	Z	Z3c
btec	P	P1
btis	Z	Z3c
btr	Z	Z3c
btw	Z	Z4
btwc72	Z	Z3
btoto	Z	Z3c
buckta	Z	Z3c
bupa	Z	Z3c
bx60040	Z	Z3
bzw	Z	Z3
babangida	Z	Z1
babba	F	F1
babcock	Z	Z1
babe	Z	Z1mf
babel	Z	Z1m
babson	Z	Z3
babylon	Z	Z2
babylonian	Z	Z2
bacardi	Z	Z3
bach	Z	Z1mf
bacon	Z	Z1
badong	Z	Z3c
baganda	Z	Z2/S2mf
baghdad	Z	Z2
bagley	Z	Z2
baha'i	Z	Z2
bahais	S	S9/S2mf
bahamas	Z	Z2
bahamian	Z	Z2/S2mf
bahamians	Z	Z2/S2mf
bahrain	Z	Z2
bahrainis	Z	Z2/S2mf
bailey	Z	Z2
bainbridge	Z	Z2
baird	Z	Z1mf
bairstow	Z	Z1mf
bairstows	Z	Z3c
bak	Z	Z1m
bakelite	Z	Z3
baker	Z	Z1mf
bakersfield	Z	Z2
bakewell	Z	Z2
bakhtiaris	Z	Z2/S2mf
balachnaba	Z	Z2
balcombe	Z	Z2
balford	Z	Z2
balfour	Z	Z1mf
bali	Z	Z1
balkan	Z	Z2
balkans	Z	Z2
balkars	Z	Z2/S2mf
balle	Z	Z2
balleck	Z	Z1
ballham	Z	Z2
balloch	Z	Z2
balls	Z	Z4
ballycastle	Z	Z2
ballymena	Z	Z2
balmoral	Z	Z2
baltic	Z	Z2
baltimore	Z	Z2
baluchis	Z	Z2/S2mf
baluchistan	Z	Z2
bambi	Z	Z3
bambridge	Z	Z2
bamingo	Z	Z1mf
bananas	Z	Z3c
banbury	Z	Z2
bangkok	Z	Z2
bangladesh	Z	Z2
bangladeshi	Z	Z2
bangladeshis	Z	Z2/S2mf
bangledeshi	Z	Z2
bangor	Z	Z2
bangsar	Z	Z2
banham	Z	Z2
bank	Z	Z2
bankside	Z	Z2
bannister	Z	Z1mf
banqueting	F	F1
banqueting-house	H	H1/F1
banstead	Z	Z1
banting	Z	Z2
bantu	Z	Z2/S2mf
banyarwanda	Z	Z2/S2mf
baptist	S	S9/S2mf
baptists	S	S9/S2mf
bar-b-q	F	F1
barbadian	Z	Z2
barbadians	Z	Z2/S2mf
barbados	Z	Z2
barbara	Z	Z1f
barber	Z	Z1mf
barbican	Z	Z2
barbie	Z	Z3f
